filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,line_range,more_info
app/authentication/tests/test_users.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,139,4,"[139, 140]",https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html
app/authentication/tests/test_users.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,142,4,[142],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html
app/authentication/tests/test_users.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,180,4,[180],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html
app/authentication/tests/test_users.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,191,4,[191],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html
app/printers/management/commands/create_random_outbound_stocks.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,22,19,[22],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
app/printers/models.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,38,31,[38],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
app/printers/models.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,39,43,[39],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
app/printers/services/output/factory.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,20,4,[20],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html
app/printers/services/output/provider/encrypted.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,11,8,"[11, 12]",https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html
app/printers/services/output/provider/html.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,14,8,"[14, 15]",https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html
app/printers/services/output/provider/html.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,42,8,"[42, 43]",https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html
app/printers/services/output/provider/pdf.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,11,8,"[11, 12]",https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html
